energy (eV),scatter (barn),capture (barn),total (barn)
1969400.0,2.979,0.0001926657,3.64932367
1973300.0,2.5421,0.0001925596,3.21449676
1973800.0,2.5093,0.000192546,3.18196255
1978200.0,2.2301,0.0001924263,2.89603593
1988200.0,2.1291,0.0001921543,2.77974795
1989999.0,2.128091,0.0001921054,2.77598871
1990001.0,2.12809,0.0001921053,2.77598461
1996400.0,2.1245,0.0001919312,2.76261193
1997900.0,2.127,0.0001918904,2.75950899
2000000.0,2.154057,0.0001918333,2.77872173
2011699.9999999998,2.3048,0.0001915552,2.88576156
2015000.0000000002,2.3367,0.0001914768,2.91599358
2018200.0000000002,2.5953,0.0001914008,3.1729761
2020000.0,2.7175,0.000191358,3.29426626
2025000.0,2.5409,0.0001912391,3.11513894
2026900.0,2.4668,0.000191194,3.04007859
2030100.0,2.4729,0.0001911179,3.04456112
2033200.0,2.4723,0.0001910443,3.04877154
2041399.9999999998,2.552,0.0001908494,3.14119605
2044600.0,2.6279,0.0001907733,3.22206167
2047300.0,2.5312,0.0001907091,3.12955151
2051899.9999999998,2.5588,0.0001905998,3.1642896
2055499.9999999998,2.6803,0.0001905143,3.29137591
2068299.9999999998,2.7039,0.00019021,3.33483851
2079699.9999999998,2.6602,0.0001899391,3.30882864
2083200.0000000002,2.6771,0.0001898559,3.33115986
2084200.0,2.6826,0.0001898322,3.33770893
2089700.0,2.8068,0.0001897014,3.467679
2096499.9999999998,2.8112,0.0001895398,3.47921284
2106000.0,2.9226,0.0001893141,3.60057931
2109200.0,3.0045,0.000189238,3.67873224
2113800.0,2.9289,0.0001891287,3.59774593
2122400.0,2.673,0.0001889243,3.33177572
2125600.0,2.4515,0.0001888482,3.10652875
2128700.0,2.4257,0.0001887746,3.07709877
2132000.0,2.3721,0.0001886961,3.0458747
2136500.0,2.0902,0.0001885892,2.79448739
2138500.0,2.0866,0.0001885416,2.80444854
2142900.0,2.1202,0.0001884371,2.82625714
2147900.0,2.2664,0.0001883182,2.95905792
2150400.0,2.3743,0.0001882588,3.06025826
2152900.0,2.4696,0.0001881994,3.1613915
2156600.0,2.5275,0.0001881115,3.22792481
2160000.0,2.5478,0.0001880307,3.25615803
2161100.0,2.5545,0.0001880045,3.2654247
2167900.0,2.4115,0.0001878429,3.13829114
2169200.0,2.3818,0.000187812,3.11162451
2175000.0,2.2423,0.0001876742,2.99267917
2177900.0,2.1735,0.0001876052,2.93321061
2181015.47,2.165686,0.0001875312,2.9354213
2184000.0,2.1582,0.0001874702,2.9375387
2190200.0,2.1552,0.0001873435,2.94192694
2196100.0,2.307,0.0001872229,3.10075776
2200700.0,2.7899,0.0001871289,3.58913938
2202500.0,2.8889,0.0001870921,3.69028428
2203900.0,2.7744,0.0001870635,3.57745263
2209300.0,2.1413,0.0001869531,2.95078756
2210000.0,2.1289,0.0001869388,2.93922174
2214300.0,2.0555,0.000186851,2.86928597
2216600.0,2.0098,0.0001868039,2.83209934
2219300.0,2.3089,0.0001867488,3.14119327
2220000.0,2.3893,0.0001867345,3.22418423
2221200.0,2.5276,0.0001867099,3.36644965
2225300.0,2.1386,0.0001866261,2.99099812
2232500.0,1.9385,0.000186479,2.81469061
2233800.0,1.9242,0.0001864524,2.80468646
2238500.0,1.8926,0.0001863564,2.76851969
2240000.0,1.9266,0.0001863257,2.80106223
2242100.0,1.9747,0.0001862828,2.84648994
2245300.0,2.2735,0.0001862174,3.14121774
2251200.0,1.9083,0.0001860968,2.76850976
2255800.0,1.9603,0.0001860028,2.81465599
2259800.0,1.9031,0.0001859211,2.75236581
2260800.0,1.8902,0.0001859006,2.73665904
2265300.0,2.1485,0.0001858086,2.98232853
2268500.0,2.2411,0.0001857432,3.06594682
2270800.0,2.4875,0.0001856962,3.30589124
2274400.0,2.3127,0.0001856227,3.12098684
2280000.0,2.2575,0.0001855082,3.05006891
2285800.0,2.1975,0.0001853897,2.97668813
2289000.0,2.1609,0.0001853243,2.93606792
2290000.0,2.1563,0.0001853038,2.9302117
2295300.0,2.1279,0.0001851955,2.89850501
2310400.0,2.1171,0.0001848869,2.87828407
2313500.0,2.3733,0.0001848236,3.13254997
2319000.0,2.1312,0.0001847112,2.88701851
2320000.0,2.1003,0.0001846907,2.85549459
2324500.0,1.9672,0.0001845988,2.7135854
2330000.0,1.927,0.0001844864,2.66261859
2335400.0,1.8894,0.000184376,2.61247838
2336700.0,1.9045,0.0001843494,2.62455938
2342200.0,1.9717,0.000184237,2.67602911
2346300.0,2.0932,0.0001841532,2.78580298
2360000.0,2.1524,0.0001838732,2.80582027
2362200.0,2.1604,0.0001838283,2.80898999
2375700.0,2.3069,0.0001835524,2.92584971
2380000.0,2.3427,0.0001834645,2.96315706
2386800.0,2.3964,0.0001833255,3.02197074
2398800.0,2.4958,0.0001830803,3.13039489
2405800.0,2.6566,0.0001829372,3.29645892
2410000.0,2.7749,0.0001828514,3.41791735
2411300.0,2.8116,0.0001828248,3.45542544
2415300.0,2.8886,0.000182743,3.5349119
2418700.0,2.807,0.0001826736,3.45542535
2422700.0,2.6059,0.0001825918,3.25681171
2426200.0,2.719,0.0001825203,3.37208735
2426700.0,2.7162,0.0001825101,3.36959817
2436200.0,2.6599,0.0001823159,3.31818975
2438700.0,2.5972,0.0001822648,3.25677704
2443200.0,2.6671,0.0001821728,3.32899412
2454100.0,2.5676,0.0001819501,3.23510648
2455600.0,2.7402,0.0001819194,3.40847884
2459600.0,3.0776,0.0001818377,3.7479385
2462100.0,2.8488,0.0001817866,3.5204258
2466600.0,2.4348,0.0001816946,3.10874277
2476600.0,2.3249,0.0001814902,3.00399187
2489500.0,2.3119,0.0001812266,2.9976341
2491500.0,2.3115,0.0001811857,2.99671988
2498000.0,2.2778,0.0001810529,2.96134883
2500000.0,2.2667,0.000181012,2.95056938
2503500.0,2.2473,0.0001809405,2.93173046
2510000.0,2.2817,0.0001808076,2.96717231
2515400.0,2.31,0.0001806973,2.99667194
2520000.0,2.593,0.0001806033,3.2806939
2520900.0,2.6486,0.0001805849,3.33622495
2524900.0,3.0642,0.0001805031,3.75151876
2526900.0,2.8188,0.0001804622,3.50596562
2529400.0,2.6889,0.0001804111,3.37587427
2530000.0,2.611,0.0001803989,3.2979284
2533400.0,2.1693,0.0001803294,2.85587089
2538101.9299999997,2.397438,0.0001802333,3.08351451
2538400.0,2.4119,0.0001802281,3.09794523
2542300.0,2.192,0.0001801607,2.87763512
2548300.0,1.9542,0.0001800569,2.63920438
2550400.0,1.9437,0.0001800206,2.62848355
2560000.0,1.9005,0.0001798546,2.57941226
2560300.0,1.8991,0.0001798494,2.57782241
2563300.0,2.3163,0.0001797975,2.99312361
2565800.0,2.6285,0.0001797543,3.30374137
2568300.0,2.9767,0.0001797111,3.65035904
2570200.0,2.4759,0.0001796782,3.14835652
2573200.0,1.9795,0.0001796263,2.65005772
2579700.0,1.7922,0.0001795139,2.45864374
2585000.0,1.7468,0.0001794223,2.40988932
2585200.0,1.7454,0.0001794188,2.40812276
2594200.0,1.8955,0.0001792632,2.54172868
2599700.0,2.3497,0.000179168,2.98584885
2601100.0,2.0887,0.0001791438,2.72228313
2606100.0,1.8559,0.0001790574,2.48031975
2608900.0,1.8437,0.0001790089,2.46298822
2610000.0,1.8387,0.0001789899,2.45597229
2615400.0,1.8101,0.0001788965,2.42241803
2620600.0,1.7772,0.0001788066,2.38995658
2630000.0,1.7723,0.000178644,2.38584934
2637000.0,1.7598,0.000178523,2.3827883
2654000.0,2.0836,0.000178229,2.72951149
2671900.0,1.7599,0.0001779194,2.42994827
2676400.0,1.862,0.0001778416,2.53811624
2680000.0,1.8473,0.0001777794,2.52827058
2684400.0,1.8288,0.0001777033,2.51642173
2697300.0,1.4951,0.0001774802,2.20222167
2699900.0,1.6523,0.0001774352,2.36335183
2703300.0,1.8544,0.0001773764,2.57424487
2710000.0,1.9427,0.0001772605,2.67987226
2714300.0,2.0001,0.0001771862,2.74764278
2718800.0,1.9386,0.0001771084,2.69699565
2720000.0,1.9687,0.0001770876,2.72998969
2727200.0,2.1633,0.0001769631,2.92813878
2731700.0,2.1719,0.0001768853,2.938957
2740700.0,1.9219,0.0001767296,2.69339331
2750200.0,1.7944,0.0001765653,2.57057602
2755800.0,1.7696,0.0001764685,2.54853648
2755831.0,1.769463,0.000176468,2.54841468
2760000.0,1.751,0.0001763959,2.53201613
2785000.0,1.6325,0.0001759635,2.43339775
