energy (eV),scatter (barn),capture (barn),total (barn)
9.999999999999999e-06,21.15662,8.507805,29.664425
1.03125e-05,20.83597,8.377908,29.213878
1.0625e-05,20.5296,8.253784,28.783384
1.09375e-05,20.23649,8.135018,28.371508
1.125e-05,19.95571,8.021236,27.976946
1.15625e-05,19.68642,7.912098,27.598518
1.1874999999999999e-05,19.42787,7.807298,27.235168
1.21875e-05,19.17935,7.706554,26.885904
1.25e-05,18.94024,7.609612,26.549852
1.28125e-05,18.70996,7.51624,26.2262
1.3125e-05,18.48798,7.426222,25.914202
1.34375e-05,18.27381,7.339363,25.613173
1.3749999999999999e-05,18.067,7.255481,25.322481
1.4375e-05,17.67388,7.096001,24.769881
1.5e-05,17.30567,6.946594,24.252264
1.5625e-05,16.95987,6.806245,23.766115
1.625e-05,16.63428,6.674072,23.308352
1.6875e-05,16.32702,6.549312,22.876332
1.7500000000000002e-05,16.03644,6.431297,22.467737
1.8125e-05,15.76109,6.31944,22.08053
1.875e-05,15.49968,6.213223,21.712903
1.9375e-05,15.25108,6.112189,21.363269
1.9999999999999998e-05,15.01428,6.015928,21.030208
2.0937499999999997e-05,14.67926,5.8797,20.55896
2.1875e-05,14.36612,5.752327,20.118447
2.28125e-05,14.07259,5.632888,19.705478
2.3749999999999998e-05,13.7967,5.520594,19.317294
2.46875e-05,13.53678,5.414758,18.951538
2.5625e-05,13.29133,5.314785,18.606115
2.65625e-05,13.05908,5.220152,18.279232
2.7499999999999998e-05,12.83888,5.1304,17.96928
2.84375e-05,12.62973,5.045125,17.674855
2.9375000000000003e-05,12.43075,4.963964,17.394714
3.0312499999999998e-05,12.24113,4.886599,17.127729
3.125e-05,12.06017,4.812742,16.872912
3.2187499999999996e-05,11.88724,4.742136,16.629376
3.3125e-05,11.72175,4.674548,16.396298
3.40625e-05,11.5632,4.609771,16.172971
3.5000000000000004e-05,11.41112,4.547614,15.958734
3.59375e-05,11.26507,4.487905,15.752975
3.6875e-05,11.12468,4.430488,15.555168
3.78125e-05,10.98959,4.37522,15.36481
3.875e-05,10.85948,4.32197,15.18145
3.9687499999999996e-05,10.73404,4.270618,15.004658
4.0625000000000005e-05,10.61302,4.221054,14.834074
4.25e-05,10.38321,4.126892,14.510102
4.4375e-05,10.16827,4.038763,14.207033
4.625e-05,9.966673,3.95605,13.922723
4.8125000000000004e-05,9.777104,3.878218,13.655322
5e-05,9.598421,3.804807,13.403228
5.15625e-05,9.457114,3.746715,13.203829
5.3125e-05,9.322163,3.691205,13.013368
5.46875e-05,9.19311,3.638091,12.831201
5.625e-05,9.069542,3.587206,12.656748
5.78125e-05,8.951085,3.538398,12.489483
5.9375e-05,8.8374,3.49153,12.32893
6.0937500000000004e-05,8.728176,3.446476,12.174652
6.25e-05,8.623133,3.403123,12.026256
6.40625e-05,8.522014,3.361365,11.883379
6.562500000000001e-05,8.424582,3.321108,11.74569
6.71875e-05,8.330622,3.282263,11.612885
6.874999999999999e-05,8.239934,3.24475,11.484684
7.1875e-05,8.067657,3.173428,11.241085
7.5e-05,7.906442,3.106612,11.013054
7.8125e-05,7.755169,3.043845,10.799014
8.125000000000001e-05,7.612869,2.984736,10.597605
8.4375e-05,7.478701,2.928942,10.407643
8.75e-05,7.351925,2.876164,10.228089
9.0625e-05,7.231898,2.82614,10.058038
9.375e-05,7.118051,2.778638,9.896689
9.6875e-05,7.009878,2.733454,9.743332
0.0001,6.906931,2.690405,9.597336
0.000103125,6.808807,2.649327,9.458134
0.00010625,6.71515,2.610076,9.325226
0.000109375,6.625635,2.572519,9.198154
0.0001125,6.53997,2.536538,9.076508
0.000115625,6.457893,2.502026,8.959919
0.00011875,6.379165,2.468885,8.84805
0.00012187500000000001,6.303567,2.437027,8.740594
0.000125,6.230903,2.406371,8.637274
0.000128125,6.160991,2.376844,8.537835
0.00013125000000000002,6.093665,2.348378,8.442043
0.000134375,6.028773,2.320911,8.349684
0.00013749999999999998,5.966174,2.294385,8.260559
0.00014375,5.847352,2.243953,8.091305
0.00015,5.736279,2.196706,7.932985
0.00015625,5.632167,2.152324,7.784491
0.00016250000000000002,5.534334,2.110527,7.644861
0.00016875,5.442189,2.071075,7.513264
0.000175,5.355215,2.033755,7.38897
0.00018125,5.272958,1.998383,7.271341
0.0001875,5.195017,1.964794,7.159811
0.00019375,5.12104,1.932844,7.053884
0.0002,5.05071,1.902404,6.953114
0.00020937499999999998,4.951445,1.859325,6.81077
0.00021875,4.858931,1.819046,6.677977
0.000228125,4.772458,1.781276,6.553734
0.0002375,4.691417,1.745765,6.437182
0.00024687499999999997,4.615281,1.712297,6.327578
0.00025625,4.543591,1.680683,6.224274
0.000265625,4.475946,1.650757,6.126703
0.00027499999999999996,4.411994,1.622375,6.034369
0.000284375,4.351422,1.595409,5.946831
0.00029375,4.293954,1.569744,5.863698
0.00030312499999999995,4.239346,1.545279,5.784625
0.0003125,4.187377,1.521923,5.7093
0.000321875,4.13785,1.499595,5.637445
0.00033125,4.090588,1.478222,5.56881
0.000340625,4.045432,1.457738,5.50317
0.00035,4.002236,1.438082,5.440318
0.000359375,3.96087,1.4192,5.38007
0.00036875,3.921214,1.401044,5.322258
0.00037812500000000004,3.883159,1.383566,5.266725
0.0003875,3.846606,1.366727,5.213333
0.000396875,3.811463,1.350488,5.161951
0.00040625000000000004,3.777647,1.334815,5.112462
0.000425,3.713694,1.305038,5.018732
0.00044374999999999997,3.654198,1.277169,4.931367
0.0004625,3.598692,1.251013,4.849705
0.00048124999999999996,3.546774,1.226401,4.773175
0.0005,3.498095,1.203186,4.701281
0.0005156249999999999,3.459782,1.184815,4.644597
0.00053125,3.423351,1.167262,4.590613
0.000546875,3.388662,1.150466,4.539128
0.0005625,3.35559,1.134374,4.489964
0.000578125,3.324021,1.11894,4.442961
0.0005937500000000001,3.293851,1.104119,4.39797
0.000609375,3.264988,1.089872,4.35486
0.000625,3.237346,1.076162,4.313508
0.000640625,3.210848,1.062957,4.273805
