energy (eV),scatter (barn),capture (barn),total (barn)
9.999999999999999e-06,15.69379,11.74364,27.43743
1.03125e-05,15.45587,11.56434,27.02021
1.0625e-05,15.22855,11.393,26.62155
1.09375e-05,15.01107,11.22907,26.24014
1.125e-05,14.80273,11.07201,25.87474
1.15625e-05,14.60292,10.92136,25.52428
1.1874999999999999e-05,14.41107,10.7767,25.18777
1.21875e-05,14.22667,10.63764,24.86431
1.25e-05,14.04925,10.50383,24.55308
1.28125e-05,13.87838,10.37494,24.25332
1.3125e-05,13.71366,10.25069,23.96435
1.34375e-05,13.55474,10.13079,23.68553
1.3749999999999999e-05,13.40129,10.01501,23.4163
1.4375e-05,13.10958,9.794871,22.904451
1.5e-05,12.83636,9.58864,22.425
1.5625e-05,12.57976,9.39491,21.97467
1.625e-05,12.33817,9.212467,21.550637
1.6875e-05,12.11017,9.040256,21.150426
1.7500000000000002e-05,11.89454,8.877356,20.771896
1.8125e-05,11.69021,8.722955,20.413165
1.875e-05,11.49623,8.57634,20.07257
1.9375e-05,11.31175,8.436878,19.748628
1.9999999999999998e-05,11.13603,8.304006,19.440036
2.0937499999999997e-05,10.88742,8.115967,19.003387
2.1875e-05,10.65504,7.940149,18.595189
2.28125e-05,10.43721,7.775283,18.212493
2.3749999999999998e-05,10.23247,7.620279,17.852749
2.46875e-05,10.03958,7.474189,17.513769
2.5625e-05,9.857424,7.336193,17.193617
2.65625e-05,9.685059,7.205567,16.890626
2.7499999999999998e-05,9.521639,7.08168,16.603319
2.84375e-05,9.36642,6.963971,16.330391
2.9375000000000003e-05,9.21874,6.851943,16.070683
3.0312499999999998e-05,9.078011,6.745152,15.823163
3.125e-05,8.943708,6.643205,15.586913
3.2187499999999996e-05,8.815357,6.545744,15.361101
3.3125e-05,8.692536,6.452451,15.144987
3.40625e-05,8.574861,6.363037,14.937898
3.5000000000000004e-05,8.461981,6.277239,14.73922
3.59375e-05,8.353583,6.194821,14.548404
3.6875e-05,8.249379,6.115566,14.364945
3.78125e-05,8.149109,6.039277,14.188386
3.875e-05,8.05253,5.965774,14.018304
3.9687499999999996e-05,7.959425,5.894891,13.854316
4.0625000000000005e-05,7.869592,5.826476,13.696068
4.25e-05,7.699008,5.696501,13.395509
4.4375e-05,7.539458,5.574854,13.114312
4.625e-05,7.389809,5.460681,12.85049
4.8125000000000004e-05,7.249087,5.353247,12.602334
5e-05,7.116442,5.251915,12.368357
5.15625e-05,7.01154,5.171728,12.183268
5.3125e-05,6.911354,5.095106,12.00646
5.46875e-05,6.815546,5.021791,11.837337
5.625e-05,6.723807,4.951553,11.67536
5.78125e-05,6.635861,4.884182,11.520043
5.9375e-05,6.551456,4.819488,11.370944
6.0937500000000004e-05,6.470362,4.757298,11.22766
6.25e-05,6.39237,4.697455,11.089825
6.40625e-05,6.317291,4.639816,10.957107
6.562500000000001e-05,6.244948,4.584247,10.829195
6.71875e-05,6.175181,4.530628,10.705809
6.874999999999999e-05,6.107843,4.478848,10.586691
7.1875e-05,5.979918,4.3804,10.360318
7.5e-05,5.860203,4.28817,10.148373
7.8125e-05,5.747867,4.201532,9.949399
8.125000000000001e-05,5.642189,4.119941,9.76213
8.4375e-05,5.542545,4.042926,9.585471
8.75e-05,5.44839,3.970075,9.418465
9.0625e-05,5.359244,3.901024,9.260268
9.375e-05,5.274683,3.835456,9.110139
9.6875e-05,5.194335,3.773087,8.967422
0.0001,5.117864,3.713665,8.831529
0.000103125,5.044975,3.656964,8.701939
0.00010625,4.975399,3.602784,8.578183
0.000109375,4.908899,3.550943,8.459842
0.0001125,4.845256,3.501277,8.346533
0.000115625,4.784277,3.453638,8.237915
0.00011875,4.725783,3.407892,8.133675
0.00012187500000000001,4.669614,3.363918,8.033532
0.000125,4.615622,3.321603,7.937225
0.000128125,4.563673,3.280845,7.844518
0.00013125000000000002,4.513643,3.241552,7.755195
0.000134375,4.46542,3.203638,7.669058
